recno,Field,RA1,RA2,DE1,DE2,m1,m2,mcen,Nfib,Ngal,f,Night,Frame,plate,_RA.icrs,_DE.icrs
164,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=164,12 15 31.30,12 21 28.97,-02 15 47.5,-01 44 50.3,14.79,17.59,18.69,112,104,0.86,1995-01-03,222,SSA056-200; 1215-03W,12 18 05.26,-02 32 27.0
165,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=165,12 21 16.92,12 27 07.68,-05 15 44.3,-04 44 21.1,16.07,17.37,18.22,50,37,0.93,1991-07-04,197,SSA022-200; 1215-06E,12 23 51.30,-05 32 21.7
166,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=166,12 15 36.74,12 21 16.92,-05 15 44.3,-04 44 21.1,16.07,17.37,18.22,50,41,0.92,1991-04-03,135,SSA013-200; 1215-06W,12 18 10.96,-05 32 23.8
167,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=167,12 21 27.07,12 26 58.68,-12 43 14.2,-11 16 34.3,15.04,17.74,19.29,112,72,0.87,1994-08-04,146,SSA070-200; 1215-12E,12 24 02.34,-12 59 51.6
168,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=168,12 15 00.48,12 21 27.07,-12 43 14.2,-11 16 34.3,15.04,17.74,19.29,112,82,0.79,1994-07-04,132,SSA069-200; 1215-12W,12 17 35.32,-12 59 54.0
169,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=169,12 33 27.70,12 39 18.65,-02 13 54.8,-01 44 39.1,15.92,17.22,18.07,50,48,0.91,1990-01-04,171,SSA013-600; 1227-03E,12 36 01.88,-02 30 25.5
170,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=170,12 27 29.74,12 33 27.70,-02 13 54.8,-01 44 39.1,15.92,17.22,18.07,50,33,0.82,1991-07-03,157,SSA012-600; 1227-03W,12 30 03.84,-02 30 29.1
171,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=171,12 33 27.58,12 39 36.74,-05 15 37.1,-04 44 36.2,16.16,17.46,18.36,50,48,0.68,1991-12-04,109,SSA018-300; 1227-06E,12 36 02.29,-05 32 07.9
172,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=172,12 27 30.17,12 33 27.58,-05 15 37.1,-04 44 36.2,16.16,17.46,18.36,50,38,0.76,1991-08-04,208,SSA021-500; 1227-06W,12 30 04.72,-05 32 11.5
173,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=173,12 33 37.20,12 40 19.08,-12 42 40.3,-11 37 09.1,15.1,17.8,19.45,112,99,0.89,1993-05-03,117,SSA049-500; 1227-12E,12 36 13.27,-12 59 11.0
174,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=174,12 26 58.68,12 33 37.20,-12 42 40.3,-11 37 09.1,15.1,17.8,19.45,112,105,0.87,1995-02-03,236,SSA057-200; 1227-12W,12 29 34.31,-12 59 15.0
175,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=175,12 45 27.94,12 51 19.46,-02 16 31.1,-01 44 34.1,15.85,17.15,18.0,50,43,0.76,1992-02-03,108,SSA011-300; 1239-03E,12 48 02.27,-02 32 52.6
